geo,TIME_PERIOD,pli,gdp_pps,hicp,median_income
Albania,2015,48.3,30,,
Albania,2016,51.1,30,,
Albania,2017,52.4,30,,3589
Albania,2018,55.9,30,1.8,4003
Albania,2019,58.3,30,1.7,4252
Albania,2020,59.4,30,2.2,4385
Albania,2021,61.6,31,2.3,4275
Albania,2022,61.9,33,6.6,5098
Albania,2023,65.2,38,5.3,6174
Albania,2024,70.6,42,2.6,
Austria,2015,109.3,128,0.8,21981
Austria,2016,110.4,128,1,23071
Austria,2017,111.6,125,2.2,23361
Austria,2018,112.1,126,2.1,23204
Austria,2019,113.2,124,1.5,23687
Austria,2020,111.7,123,1.4,23334
Austria,2021,108.5,121,2.8,24450
Austria,2022,107.9,123,8.6,25119
Austria,2023,111.5,121,7.7,28690
Austria,2024,111.7,119,2.9,29758
Belgium,2015,111.2,119,0.6,19921
Belgium,2016,113.3,118,1.8,21335
Belgium,2017,114.3,117,2.2,20904
Belgium,2018,114.7,116,2.3,21353
Belgium,2019,114.9,117,1.3,22141
Belgium,2020,113.6,118,0.4,22391
Belgium,2021,115.5,117,3.2,22768
Belgium,2022,117.4,118,10.3,24159
Belgium,2023,116.9,118,2.3,25150
Belgium,2024,116.7,117,4.3,26361
Bosnia and Herzegovina,2015,53.8,31,,
Bosnia and Herzegovina,2016,53.3,31,,
Bosnia and Herzegovina,2017,54.5,31,,
Bosnia and Herzegovina,2018,54.8,32,,
Bosnia and Herzegovina,2019,54.8,32,,
Bosnia and Herzegovina,2020,56.1,33,,
Bosnia and Herzegovina,2021,56.2,33,,
Bosnia and Herzegovina,2022,58.4,34,,
Bosnia and Herzegovina,2023,58.5,35,,
Bosnia and Herzegovina,2024,58.4,35,,
Bulgaria,2015,49.7,49,-1.1,6882
Bulgaria,2016,49.7,51,-1.3,6742
Bulgaria,2017,51.2,52,1.2,7533
Bulgaria,2018,51.9,53,2.6,7218
Bulgaria,2019,53.6,55,2.5,8371
Bulgaria,2020,55.2,57,1.2,8647
Bulgaria,2021,55.5,60,2.8,9375
Bulgaria,2022,58.2,62,13,9671
Bulgaria,2023,59.2,63,8.6,11155
Bulgaria,2024,60.5,66,2.6,13079
Croatia,2015,67.8,61,-0.3,8253
Croatia,2016,68.5,62,-0.6,8985
Croatia,2017,69.2,63,1.3,9444
Croatia,2018,70.6,64,1.6,9870
Croatia,2019,71.3,67,0.8,10734
Croatia,2020,70.7,66,0,11090
Croatia,2021,69.4,70,2.7,11385
Croatia,2022,73.1,72,10.7,12277
Croatia,2023,74.9,78,8.4,13438
Croatia,2024,76.6,78,4,16277
Cyprus,2015,92.2,81,-1.5,15313
Cyprus,2016,89.5,86,-1.2,16173
Cyprus,2017,89.8,88,0.7,16877
Cyprus,2018,90.9,89,0.8,17505
Cyprus,2019,91.3,91,0.5,18844
Cyprus,2020,90.7,89,-1.1,18652
Cyprus,2021,92.6,92,2.3,18629
Cyprus,2022,93.3,95,8.1,19891
Cyprus,2023,92.1,97,3.9,20917
Cyprus,2024,91.6,99,2.3,22817
Czechia,2015,66.8,89,0.3,11652
Czechia,2016,68.3,89,0.7,12478
Czechia,2017,70.5,92,2.5,12641
Czechia,2018,74,93,1.9,13264
Czechia,2019,75.1,95,2.6,14035
Czechia,2020,76.3,96,3.3,14151
Czechia,2021,83.3,92,3.3,13815
Czechia,2022,89.6,90,14.8,15354
Czechia,2023,91.7,91,12,16208
Czechia,2024,88.5,91,2.7,16972
Denmark,2015,142.8,127,0.2,20384
Denmark,2016,146.1,126,0,21355
Denmark,2017,143.1,128,1.1,20955
Denmark,2018,141.4,127,0.7,21646
Denmark,2019,143.4,125,0.7,22371
Denmark,2020,142.6,132,0.3,21796
Denmark,2021,140.8,133,1.9,22899
Denmark,2022,146.3,134,8.6,23244
Denmark,2023,141.6,126,3.4,22820
Denmark,2024,140.7,127,1.3,24297
Estonia,2015,77.5,77,0.1,10432
Estonia,2016,78.8,78,0.8,11867
Estonia,2017,80.9,80,3.7,12414
Estonia,2018,83,82,3.4,13378
Estonia,2019,84.9,84,2.3,14240
Estonia,2020,86,85,-0.6,14331
Estonia,2021,91.1,85,4.5,14810
Estonia,2022,99.6,83,19.4,17064
Estonia,2023,99.8,80,9.1,15492
Estonia,2024,100.2,79,3.7,16482
European Union - 27 countries (from 2020),2015,100,100,0.1,15641
European Union - 27 countries (from 2020),2016,100,100,0.2,16462
European Union - 27 countries (from 2020),2017,100,100,1.6,16567
European Union - 27 countries (from 2020),2018,100,100,1.8,16938
European Union - 27 countries (from 2020),2019,100,100,1.4,17480
European Union - 27 countries (from 2020),2020,100,100,0.7,17917
European Union - 27 countries (from 2020),2021,100,100,2.9,18025
European Union - 27 countries (from 2020),2022,100,100,9.2,18714
European Union - 27 countries (from 2020),2023,100,100,6.4,19903
European Union - 27 countries (from 2020),2024,100,100,2.6,21245
Finland,2015,125.8,109,-0.2,19430
Finland,2016,126.1,109,0.4,19997
Finland,2017,125.1,110,0.8,19827
Finland,2018,125.7,109,1.2,20048
